DATA_SOURCE,ENTITY_TYPE,RECORD_ID,NPI_NUMBER,NAME_ORG,DBA_NAME_ORG,DBA Name Type,MAILING_ADDR_LINE1,MAILING_ADDR_LINE2,MAILING_ADDR_CITY,MAILING_ADDR_STATE,MAILING_ADDR_POSTAL_CODE,MAILING_ADDR_COUNTRY,MAILING_PHONE_NUMBER,MAILINGFAX_PHONE_NUMBER,BUSINESS_ADDR_LINE1,BUSINESS_ADDR_LINE2,BUSINESS_ADDR_CITY,BUSINESS_ADDR_STATE,BUSINESS_ADDR_POSTAL_CODE,BUSINESS_ADDR_COUNTRY,PRACTICE_PHONE_NUMBER,PRACTICEFAX_PHONE_NUMBER,Provider Enumeration Date,Last Update Date,NPI Deactivation Date,NPI Reactivation Date,LICNUM1_OTHER_ID_NUMBER,LICNUM1_OTHER_ID_COUNTRY,LICNUM2_OTHER_ID_NUMBER,LICNUM2_OTHER_ID_COUNTRY,LICNUM3_OTHER_ID_NUMBER,LICNUM3_OTHER_ID_COUNTRY,LICNUM4_OTHER_ID_NUMBER,LICNUM4_OTHER_ID_COUNTRY,LICNUM5_OTHER_ID_NUMBER,LICNUM5_OTHER_ID_COUNTRY,LICNUM6_OTHER_ID_NUMBER,LICNUM6_OTHER_ID_COUNTRY,LICNUM7_OTHER_ID_NUMBER,LICNUM7_OTHER_ID_COUNTRY,LICNUM8_OTHER_ID_NUMBER,LICNUM8_OTHER_ID_COUNTRY,LICNUM9_OTHER_ID_NUMBER,LICNUM9_OTHER_ID_COUNTRY,LICNUM10_OTHER_ID_NUMBER,LICNUM10_OTHER_ID_COUNTRY,LICNUM11_OTHER_ID_NUMBER,LICNUM11_OTHER_ID_COUNTRY,LICNUM12_OTHER_ID_NUMBER,LICNUM12_OTHER_ID_COUNTRY,LICNUM13_OTHER_ID_NUMBER,LICNUM13_OTHER_ID_COUNTRY,LICNUM14_OTHER_ID_NUMBER,LICNUM14_OTHER_ID_COUNTRY,LICNUM15_OTHER_ID_NUMBER,LICNUM15_OTHER_ID_COUNTRY,Is Organization Subpart,Parent Organization LBN,Certification Date
NPI_ORGANIZATION,ORGANIZATION,1134122021,1134122021,NEVADA CARDIOLOGY PROFESSIONAL ASSN,NEVADA CARDIOLOGY ASSOCIATES,Doing Business As,3121 S MARYLAND PKWY,STE 512,LAS VEGAS,NV,891092310,US,7027967150,7027969071,3121 S MARYLAND PKWY,STE 512,LAS VEGAS,NV,891092310,US,7027967150,7027967150,05/24/2005,08/27/2014,,,175317600,NV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,
NPI_ORGANIZATION,ORGANIZATION,1760485692,1760485692,"BIOSCRIP PHARMACY, INC.",BIOSCRIP PHARMACY,Doing Business As,10050 CROSSTOWN CIR,STE 300,EDEN PRAIRIE,MN,553443374,US,8007535995,9523526698,901 S RANCHO DR,STE 20,LAS VEGAS,NV,891063815,US,7024717828,7024717828,05/24/2005,12/03/2010,,,,,,,,,PH01378,NV,,,,,,,,,,,,,,,,,,,,,,,N,,
NPI_ORGANIZATION,ORGANIZATION,1114920717,1114920717,SAN MIGUEL CLINIC CORP,,,PO BOX 5009,,BRENTWOOD,TN,370245009,US,,,108 LEGION DR STE A,,LAS VEGAS,NM,877014898,US,5054549499,5054549499,05/27/2005,03/04/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,
NPI_ORGANIZATION,ORGANIZATION,1518961416,1518961416,SILMO MANAGEMENT CORP.,"DESERT INN FAMILY PHYSICIANS, SILMO MEDICAL CENTER",Doing Business As,1900 E DESERT INN RD,,LAS VEGAS,NV,891693211,US,7027351960,7027353431,1900 E DESERT INN RD,,LAS VEGAS,NV,891693211,US,7027351960,7027351960,06/08/2005,10/04/2007,,,,NV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,
NPI_ORGANIZATION,ORGANIZATION,1245234145,1245234145,LAS VEGAS KIDNEY CLINIC INC.,,,1905 CIVIC CENTER DR,STE 201,NORTH LAS VEGAS,NV,890307116,US,7022149516,7022149415,1905 CIVIC CENTER DR,STE 201,NORTH LAS VEGAS,NV,890307116,US,7022149516,7022149516,06/08/2005,06/06/2008,,,3221ESR3,NV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,
NPI_ORGANIZATION,ORGANIZATION,1962406686,1962406686,CANOWA SUB 1,SCHLEUSNER CHIROPRACTIC CENTER,Doing Business As,2091 E SAHARA AVE,,LAS VEGAS,NV,891043829,US,7027324044,7027328396,2091 E SAHARA AVE,,LAS VEGAS,NV,891043829,US,7027324044,7027324044,06/09/2005,03/07/2014,,,B79,NV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,
NPI_ORGANIZATION,ORGANIZATION,1780688234,1780688234,COLONIAL HOME CARE,,,3530 E FLAMINGO RD,STE 270,LAS VEGAS,NV,891215092,US,7027338533,7027338498,3530 E FLAMINGO RD,STE 270,LAS VEGAS,NV,891215092,US,7027338533,7027338533,06/10/2005,07/09/2007,,,524HHA-10,NV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPI_ORGANIZATION,ORGANIZATION,1053316810,1053316810,APM MEDICAL SUPPLIES,,,5025 S EASTERN AVE,SUITE 4,LAS VEGAS,NV,891192318,US,7022590374,7022594729,5025 S EASTERN AVE,SUITE 4,LAS VEGAS,NV,891192318,US,7022590374,7022590374,06/17/2005,03/21/2016,,,,NV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,
NPI_ORGANIZATION,ORGANIZATION,1750387114,1750387114,MAM MEDICAL SUPPLY INC.,,,2300 E DESERT INN RD,STE 2,LAS VEGAS,NV,891093233,US,7023690510,7023699846,2300 E DESERT INN RD,STE 2,LAS VEGAS,NV,891093233,US,7023690510,7023690510,06/21/2005,07/08/2007,,,2000087.424,NV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPI_ORGANIZATION,ORGANIZATION,1730186388,1730186388,CARDIOLOGY ASSOC. OF NEVADA,HEART INSTITUTE OF NEVADA,Doing Business As,1090 E DESERT INN RD,# H100,LAS VEGAS,NV,891092824,US,7027655720,7027655826,1090 E DESERT INN RD,# H100,LAS VEGAS,NV,891092824,US,7027655720,7027655720,06/28/2005,04/20/2008,,,=========,NV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
