LoanRange,BusinessName,Address,City,State,Zip,NAICSCode,BusinessType,RaceEthnicity,Gender,Veteran,NonProfit,JobsReported,DateApproved,Lender,CD
c $1-2 million,"INFINITY HOSPICE CARE OF LAS VEGAS, LLC",5110 N 40TH ST STE 107,PHOENIX,AZ,85018,623110,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,137,05/01/2020,"JPMorgan Chase Bank, National Association",AZ-09
"d $350,000-1 million",CLUB TATTOO LAS VEGAS LLC,1839 s. almaschool rd. ste 230,MESA,AZ,85210,812199,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,15,05/01/2020,"JPMorgan Chase Bank, National Association",AZ-09
"d $350,000-1 million","LAS VEGAS LABOR, LLC","10265 W Camelback Rd, Ste 104",PHOENIX,AZ,85037,111421,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,0,04/07/2020,"UMB Bank, National Association",AZ-03
"e $150,000-350,000","FIRST CUP PARTNERS LAS VEGAS II, LLC","106 S Kyrene Rd, Ste 2",CHANDLER,AZ,85226,722511,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,105,04/16/2020,"JPMorgan Chase Bank, National Association",AZ-09
"e $150,000-350,000","FIRST CUP PARTNERS LAS VEGAS, LLC",2121 W Chandler Blvd Ste 106,Chandler,AZ,85224,,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,124,05/01/2020,"JPMorgan Chase Bank, National Association",AZ-09
b $2-5 million,"DTG LAS VEGAS MANAGER, LLC",4700 WILSHIRE BLVD,LOS ANGELES,CA,90010,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,380,04/27/2020,City National Bank,CA-34
"d $350,000-1 million","HENNESSEY'S LAS VEGAS, INC.",1845 S ELENA AVENUE #300,REDONDO BEACH,CA,90277,,Corporation,Unanswered,Unanswered,Unanswered,,,05/03/2020,"Wells Fargo Bank, National Association",CA-33
"d $350,000-1 million","VEGAS BUILDS, INC.",15 Mitchell Way,Danville,CA,94506,999990,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,18,05/01/2020,"JPMorgan Chase Bank, National Association",CA-11
"d $350,000-1 million",WESTSIDE BUILIDNG MATERIAL LAS VEGAS INC,1111 E. HOWELL AVE,ANAHEIM,CA,92805,444190,Corporation,Unanswered,Unanswered,Unanswered,,33,04/06/2020,City National Bank,CA-46
"e $150,000-350,000",BIG LEAGUE DREAMS LAS VEGAS LLC,16339 FAIRFIELD RANCH RD,CHINO HILLS,CA,91709,713940,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,54,05/04/2020,Sunwest Bank,CA-39
"e $150,000-350,000","CULICHITOWN-NORTH LAS VEGAS, INC.",1500 S. Milliken Ave Ste A,ONTARIO,CA,91761,722511,Subchapter S Corporation,Unanswered,Male Owned,Non-Veteran,,15,04/30/2020,"JPMorgan Chase Bank, National Association",CA-35
"e $150,000-350,000","LAS VEGAS INTERNATIONAL TOURS, INFORMATION AND RESERVATIONS,",6806 Hollywood Blvd,Los Angeles,CA,90028,561520,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,14,08/05/2020,Customers Bank,CA-28
"e $150,000-350,000",MAXIE'S LAS VEGAS LLC,12400 Wilshire Boulevard,Los Angeles,CA,90025,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,63,04/28/2020,Northeast Bank,CA-37
"e $150,000-350,000","PLACER VALLEY SPORTS COMPLEX, INC",451 LOS VEGAS AVE,ROSEVILLE,CA,95678,711310,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,11,04/14/2020,Umpqua Bank,CA-04
"e $150,000-350,000","ROOTER LAS VEGAS, LLC","400 Continental Blvd, Suite 600",EL SEGUNDO,CA,90245,999990,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,24,04/05/2020,CalPrivate Bank,CA-33
"e $150,000-350,000",VEGAS BUFFET (TORRANCE) INC,3525 W CARSON ST #170,TORRANCE,CA,90503,722513,Corporation,Asian,Unanswered,Unanswered,,29,04/28/2020,Cathay Bank,CA-33
"e $150,000-350,000","VEGAS BUFFET GLENDALE, INC.",110 S BRAND BLVD,GLENDALE,CA,91204,722514,Corporation,Unanswered,Unanswered,Unanswered,,30,04/28/2020,Cathay Bank,CA-28
"e $150,000-350,000",VISION MARTIAL ARTS,6391 VEGAS DRIVE,SAN JOSE,CA,95120,611620,Corporation,Unanswered,Unanswered,Unanswered,,20,04/30/2020,Bank of the West,CA-18
"e $150,000-350,000",WOW VEGAS INC.,6650 HOLLYWOOD BLVD,LOS ANGELES,CA,90028,512110,Corporation,White,Male Owned,Non-Veteran,,16,04/06/2020,City National Bank,CA-28
"d $350,000-1 million",ADARAND CONSTRUCTORS,2720 EAST LAS VEGAS ST,COLORADO SPRINGS,CO,80906,237310,Corporation,Unanswered,Unanswered,Unanswered,,0,04/28/2020,"UMB Bank, National Association",CO-05
"d $350,000-1 million",FRAZEE CONSTRUCTION CO.,2875 E Las Vegas St,COLORADO SPRINGS,CO,80906,237110,Corporation,Unanswered,Unanswered,Unanswered,,0,04/08/2020,"UMB Bank, National Association",CO-05
"d $350,000-1 million",THE SPRINGS RESCUE MISSION,5 w las vegas st,COLORADO SPRINGS,CO,80903,813110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,0,04/07/2020,BBVA USA,CO-05
"e $150,000-350,000","COLORADO INDUSTRIAL RECYCLING, INC.",2730 E Las Vegas,COLORADO SPRINGS,CO,80906,423930,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,35,04/14/2020,"Zions Bank, A Division of",CO-05
"e $150,000-350,000","RANDY'S HIGH COUNTRY TOWING, INC.",1205 E. LAS VEGAS ST,COLORADO SPRINGS,CO,80903,488410,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,26,04/06/2020,Stockmens Bank,CO-05
